順位,ティッカー,銘柄名,スコア,PER,PBR,配当利回り(%),時価総額(億円)
1,2429.T,ワールドHD,86.07,7.11,0.99,10.03,491
2,3393.T,スターティアHD,65.71,14.31,3.51,9.96,267
3,3486.T,グローバル・リンク・マネジメント,69.73,6.40,2.41,8.86,360
4,1429.T,日本アクア,64.43,13.40,2.34,8.40,275
5,3901.T,マークラインズ,62.82,13.55,3.08,7.71,201
6,4251.T,恵和,67.79,8.94,1.00,6.96,243
7,3245.T,ディア・ライフ,68.00,9.07,1.76,5.81,558
8,3482.T,ロードスターキャピタル,87.74,6.92,1.76,5.66,575
9,4331.T,テイクアンドギヴ・ニーズ,77.33,4.00,0.59,5.52,105
10,3284.T,フージャースHD,64.06,10.39,1.22,5.52,545
11,3635.T,コーエーテクモHD,76.90,15.29,2.15,5.34,5573
12,3431.T,宮地エンジニアリンググループ,64.69,11.25,1.20,5.23,496
13,2384.T,SBS HD,68.09,14.00,1.70,5.08,1648
14,2410.T,キャリアデザインセンター,65.96,11.60,2.93,5.08,128
15,3151.T,バイタルKSK HD,68.29,6.79,0.61,4.95,667
16,2982.T,ADワークスグループ,72.19,8.91,1.00,4.76,205
17,262A.T,262A,66.54,15.00,2.33,4.76,605
18,3276.T,日本管理センター,65.42,11.77,2.43,4.73,224
19,2379.T,ディップ,62.72,13.77,2.86,4.72,1051
20,2121.T,MIXI,79.24,10.49,0.98,4.59,1710
